city;area;rooms;bathroom;parking spaces;floor;animal;furniture;rent
São Paulo;38;2;1;0;2;acept;not furnished;1610
São Paulo;56;2;1;0;0;acept;not furnished;1610
Campinas;87;2;1;0;10;acept;not furnished;1611
Campinas;212;4;1;2;0;acept;not furnished;1611
Porto Alegre;30;1;1;0;2;acept;furnished;1611
São Paulo;39;2;1;0;1;acept;not furnished;1612
Porto Alegre;30;1;1;0;11;acept;not furnished;1613
São Paulo;120;2;1;0;0;acept;not furnished;1613
São Paulo;95;3;2;0;0;acept;not furnished;1614
Belo Horizonte;67;2;1;0;5;not acept;furnished;1615
Rio de Janeiro;15;1;1;0;1;not acept;not furnished;1615
Rio de Janeiro;40;1;1;0;2;acept;not furnished;1615
Rio de Janeiro;75;2;1;1;2;acept;not furnished;1615
São Paulo;26;1;1;0;4;not acept;not furnished;1615
São Paulo;39;1;1;0;8;acept;not furnished;1615
Porto Alegre;88;2;1;0;1;acept;furnished;1616
São Paulo;35;1;1;0;7;acept;not furnished;1616
São Paulo;44;1;1;1;13;acept;not furnished;1616
Campinas;60;3;1;1;0;not acept;not furnished;1618
São Paulo;36;1;1;1;1;acept;not furnished;1618
São Paulo;70;2;1;1;1;acept;not furnished;1618
Porto Alegre;50;1;1;0;10;acept;not furnished;1620
Rio de Janeiro;53;2;1;1;4;acept;furnished;1620
Campinas;70;1;1;1;11;not acept;not furnished;1621
São Paulo;47;2;1;0;1;acept;not furnished;1621
Porto Alegre;50;2;1;1;1;not acept;not furnished;1622
Porto Alegre;50;2;2;1;4;acept;not furnished;1623
São Paulo;60;1;1;1;0;acept;not furnished;1623
São Paulo;35;1;1;1;0;acept;not furnished;1624
Campinas;35;1;1;0;0;acept;not furnished;1625
São Paulo;50;1;1;0;0;acept;not furnished;1625
São Paulo;102;3;2;2;0;acept;not furnished;1625
Belo Horizonte;40;1;1;0;3;not acept;not furnished;1626
Porto Alegre;58;2;1;1;4;acept;not furnished;1627
São Paulo;45;2;1;1;7;not acept;not furnished;1627
Belo Horizonte;88;3;2;1;3;acept;not furnished;1628
Campinas;45;1;1;1;4;acept;not furnished;1628
Porto Alegre;50;1;1;1;4;acept;not furnished;1628
São Paulo;69;3;1;1;1;acept;not furnished;1628
Porto Alegre;64;2;1;1;4;acept;not furnished;1629
Rio de Janeiro;26;1;1;0;2;not acept;not furnished;1629
São Paulo;50;2;1;1;5;acept;furnished;1630
Campinas;50;1;1;1;1;acept;not furnished;1631
São Paulo;39;2;1;0;3;acept;not furnished;1632
São Paulo;25;1;1;0;16;acept;not furnished;1633
Porto Alegre;80;2;1;0;0;acept;furnished;1634
Porto Alegre;71;3;1;0;1;acept;not furnished;1635
Rio de Janeiro;66;2;1;1;3;acept;not furnished;1636
São Paulo;60;2;1;0;0;acept;not furnished;1636
Belo Horizonte;88;3;2;2;2;not acept;not furnished;1637
Rio de Janeiro;50;1;1;0;2;not acept;not furnished;1637
São Paulo;70;3;1;1;8;acept;not furnished;1637
São Paulo;100;1;1;0;0;acept;not furnished;1637
Porto Alegre;50;1;1;1;3;not acept;not furnished;1638
Rio de Janeiro;55;2;2;1;5;not acept;not furnished;1639
São Paulo;57;2;2;1;8;acept;not furnished;1640
São Paulo;100;2;3;1;0;not acept;not furnished;1640
Belo Horizonte;75;3;1;1;4;not acept;not furnished;1641
Campinas;60;1;1;0;3;acept;not furnished;1642
Porto Alegre;69;3;1;1;5;acept;not furnished;1642
São Paulo;38;1;1;0;19;not acept;not furnished;1642
Belo Horizonte;80;3;2;1;1;acept;not furnished;1643
Porto Alegre;90;2;1;1;2;acept;furnished;1643
Campinas;50;2;1;1;3;acept;not furnished;1646
Rio de Janeiro;24;1;1;0;11;acept;not furnished;1646
São Paulo;32;1;1;0;18;acept;not furnished;1646
São Paulo;40;1;1;0;9;acept;not furnished;1646
Belo Horizonte;84;3;2;0;3;acept;not furnished;1647
São Paulo;60;1;2;0;0;not acept;not furnished;1648
São Paulo;70;1;2;1;0;acept;not furnished;1648
São Paulo;125;2;2;1;0;acept;not furnished;1649
Campinas;58;1;2;1;10;not acept;not furnished;1650
Rio de Janeiro;36;1;1;0;4;not acept;furnished;1650
Rio de Janeiro;57;2;1;0;1;acept;not furnished;1650
São Paulo;37;1;1;0;0;acept;not furnished;1650
São Paulo;55;2;1;1;4;acept;furnished;1650
São Paulo;60;2;1;0;0;acept;not furnished;1650
Porto Alegre;42;1;1;0;4;acept;not furnished;1651
Rio de Janeiro;68;2;1;1;5;acept;not furnished;1651
Porto Alegre;70;2;1;0;8;acept;furnished;1652
Campinas;83;1;1;1;4;not acept;not furnished;1653
Porto Alegre;62;2;1;0;8;acept;not furnished;1653
Porto Alegre;75;2;1;2;2;acept;not furnished;1653
Porto Alegre;79;2;1;0;0;acept;not furnished;1654
Porto Alegre;73;2;1;0;1;acept;furnished;1655
Rio de Janeiro;53;2;1;0;5;acept;not furnished;1656
Rio de Janeiro;75;2;1;0;4;acept;not furnished;1656
São Paulo;51;2;1;1;7;acept;not furnished;1657
Belo Horizonte;86;2;1;1;1;acept;not furnished;1658
Belo Horizonte;90;2;2;0;7;acept;not furnished;1658
Porto Alegre;40;1;1;0;2;acept;furnished;1658
Porto Alegre;67;3;2;1;3;acept;not furnished;1658
Belo Horizonte;25;1;1;0;3;not acept;furnished;1661
Belo Horizonte;64;3;1;0;3;not acept;not furnished;1661
Campinas;60;2;1;0;1;acept;not furnished;1661
Campinas;68;1;1;1;10;not acept;furnished;1661
Campinas;76;3;1;1;8;not acept;not furnished;1661
São Paulo;49;2;1;1;10;not acept;not furnished;1661
São Paulo;55;1;1;0;0;acept;not furnished;1661
Porto Alegre;50;2;1;1;2;acept;not furnished;1663
Porto Alegre;64;1;1;1;2;acept;furnished;1664
São Paulo;60;2;1;0;2;acept;not furnished;1664
Belo Horizonte;28;1;1;0;0;not acept;furnished;1665
Belo Horizonte;28;1;1;1;0;not acept;furnished;1665
Belo Horizonte;32;1;1;0;0;not acept;furnished;1665
Rio de Janeiro;74;3;1;0;0;acept;not furnished;1665
São Paulo;53;2;1;1;5;acept;not furnished;1665
Belo Horizonte;117;3;1;1;0;acept;not furnished;1666
Belo Horizonte;360;3;1;3;0;acept;not furnished;1667
São Paulo;71;2;1;0;3;acept;furnished;1667
São Paulo;70;1;1;0;0;not acept;not furnished;1668
Porto Alegre;50;2;1;1;3;acept;furnished;1669
Rio de Janeiro;56;2;1;1;18;acept;not furnished;1669
Belo Horizonte;45;1;1;1;6;not acept;not furnished;1670
Rio de Janeiro;18;1;1;0;14;not acept;not furnished;1670
Rio de Janeiro;60;2;1;1;2;acept;not furnished;1670
São Paulo;53;2;2;1;6;not acept;not furnished;1671
Porto Alegre;38;1;1;0;3;acept;not furnished;1672
Rio de Janeiro;20;1;1;0;11;not acept;furnished;1672
Rio de Janeiro;20;1;1;0;1;acept;not furnished;1672
Belo Horizonte;55;2;1;1;3;acept;not furnished;1673
Porto Alegre;36;1;1;0;4;not acept;furnished;1673
São Paulo;70;1;1;1;2;acept;not furnished;1673
Porto Alegre;63;2;1;0;3;acept;furnished;1674
São Paulo;50;2;1;1;0;acept;not furnished;1674
Belo Horizonte;65;2;2;1;11;acept;not furnished;1675
São Paulo;40;1;1;0;3;acept;not furnished;1675
São Paulo;42;1;1;0;0;not acept;not furnished;1675
São Paulo;55;1;1;0;0;acept;not furnished;1675
São Paulo;55;2;1;0;0;acept;not furnished;1675
São Paulo;72;2;1;1;4;acept;not furnished;1675
São Paulo;100;2;1;2;0;acept;not furnished;1675
São Paulo;150;2;3;1;0;acept;not furnished;1675
São Paulo;31;1;1;0;22;acept;not furnished;1677
São Paulo;50;2;1;1;3;acept;not furnished;1677
Campinas;75;2;1;2;1;acept;not furnished;1678
Porto Alegre;42;2;1;0;1;acept;not furnished;1678
São Paulo;35;1;1;0;1;acept;not furnished;1678
Campinas;65;1;1;1;9;acept;not furnished;1679
Rio de Janeiro;28;1;1;0;5;acept;not furnished;1679
Campinas;44;1;1;1;2;acept;not furnished;1680
Rio de Janeiro;54;2;2;1;6;acept;not furnished;1681
São Paulo;35;1;1;0;7;not acept;not furnished;1681
Campinas;200;2;1;1;0;acept;not furnished;1682
Campinas;59;2;1;1;5;acept;not furnished;1683
Porto Alegre;87;2;1;0;2;acept;not furnished;1683
Campinas;55;1;1;1;2;acept;not furnished;1684
São Paulo;50;2;1;1;5;acept;not furnished;1684
Belo Horizonte;118;3;3;1;1;acept;not furnished;1685
Campinas;60;1;1;2;0;acept;not furnished;1685
São Paulo;80;1;1;0;0;acept;not furnished;1685
Belo Horizonte;75;2;2;1;3;acept;not furnished;1686
Porto Alegre;140;3;3;1;0;acept;not furnished;1686
São Paulo;35;1;1;1;5;not acept;furnished;1686
São Paulo;110;2;1;1;0;acept;not furnished;1686
Belo Horizonte;28;1;1;1;6;not acept;furnished;1687
Belo Horizonte;70;2;2;1;3;acept;not furnished;1687
Porto Alegre;42;1;1;1;7;acept;not furnished;1687
Rio de Janeiro;120;2;2;1;14;acept;not furnished;1687
Rio de Janeiro;76;2;1;0;3;acept;not furnished;1688
São Paulo;33;1;1;0;18;acept;furnished;1688
Belo Horizonte;71;3;2;2;3;acept;not furnished;1689
Campinas;67;3;1;1;9;acept;not furnished;1689
Campinas;68;2;1;0;0;acept;not furnished;1689
Porto Alegre;44;1;1;0;3;acept;not furnished;1689
Porto Alegre;60;1;1;1;2;not acept;not furnished;1689
Rio de Janeiro;15;1;1;0;11;not acept;furnished;1692
São Paulo;67;2;1;0;12;acept;not furnished;1693
Campinas;62;2;1;0;1;acept;not furnished;1694
São Paulo;47;2;1;1;4;not acept;not furnished;1694
Porto Alegre;58;2;1;1;1;acept;not furnished;1695
Rio de Janeiro;48;2;1;1;12;acept;not furnished;1696
São Paulo;67;2;1;1;6;acept;not furnished;1696
Belo Horizonte;90;1;2;0;4;acept;not furnished;1697
Rio de Janeiro;30;1;1;0;5;not acept;not furnished;1697
Belo Horizonte;90;3;2;1;1;acept;not furnished;1698
Rio de Janeiro;65;2;1;1;16;acept;not furnished;1698
São Paulo;53;2;1;1;8;acept;not furnished;1698
Rio de Janeiro;78;2;1;1;8;acept;furnished;1699
São Paulo;40;1;1;0;16;acept;not furnished;1699
São Paulo;52;2;1;1;17;acept;not furnished;1699
São Paulo;52;2;1;1;9;acept;not furnished;1700
Belo Horizonte;100;3;2;0;0;acept;not furnished;1701
São Paulo;38;1;1;0;6;acept;not furnished;1702
São Paulo;47;2;1;1;1;not acept;not furnished;1703
Rio de Janeiro;78;2;1;1;6;acept;not furnished;1705
Porto Alegre;48;1;1;0;0;acept;not furnished;1706
Porto Alegre;70;2;1;0;12;acept;not furnished;1706
Rio de Janeiro;50;1;1;1;7;acept;not furnished;1706
São Paulo;37;1;1;0;6;acept;not furnished;1706
Belo Horizonte;55;2;2;1;5;acept;not furnished;1707
Porto Alegre;40;1;1;0;1;acept;not furnished;1707
Porto Alegre;50;2;1;1;0;acept;furnished;1707
Porto Alegre;62;2;1;1;5;acept;not furnished;1707
São Paulo;55;2;1;1;0;acept;not furnished;1707
São Paulo;75;1;1;1;0;not acept;not furnished;1707
São Paulo;80;2;2;1;0;not acept;not furnished;1707
Porto Alegre;34;1;1;1;6;acept;furnished;1708
Rio de Janeiro;70;2;2;1;2;acept;not furnished;1708
São Paulo;35;3;2;0;0;acept;not furnished;1709
São Paulo;100;3;1;2;0;not acept;not furnished;1709
São Paulo;192;3;1;0;0;not acept;not furnished;1709
Porto Alegre;54;1;1;1;6;acept;not furnished;1710
Porto Alegre;61;2;1;0;1;acept;not furnished;1710
Porto Alegre;70;2;1;0;0;acept;not furnished;1711
São Paulo;50;2;1;1;1;acept;not furnished;1712
Belo Horizonte;52;2;1;1;5;acept;furnished;1713
Porto Alegre;53;2;2;1;3;acept;not furnished;1713
Porto Alegre;55;2;1;0;3;not acept;not furnished;1713
Porto Alegre;78;2;1;0;3;acept;not furnished;1713
Porto Alegre;78;2;1;0;2;acept;not furnished;1713
Rio de Janeiro;48;1;1;0;1;not acept;not furnished;1713
Rio de Janeiro;50;1;1;1;5;acept;not furnished;1713
Rio de Janeiro;90;2;1;0;9;acept;not furnished;1713
Porto Alegre;55;2;1;1;2;acept;not furnished;1714
Porto Alegre;72;2;2;1;2;acept;not furnished;1714
Campinas;100;3;2;0;2;not acept;not furnished;1715
Porto Alegre;80;3;1;1;1;acept;not furnished;1715
Rio de Janeiro;52;1;1;0;2;acept;not furnished;1715
São Paulo;80;2;2;1;0;acept;not furnished;1715
Belo Horizonte;103;2;2;2;1;not acept;not furnished;1716
Rio de Janeiro;68;2;1;1;2;acept;not furnished;1717
São Paulo;60;2;1;0;3;not acept;not furnished;1717
São Paulo;35;1;1;0;0;acept;not furnished;1718
São Paulo;48;2;1;1;15;not acept;not furnished;1718
Belo Horizonte;100;3;3;1;3;acept;not furnished;1719
Campinas;68;3;1;1;2;acept;not furnished;1719
Porto Alegre;54;2;1;0;13;acept;furnished;1719
Belo Horizonte;72;2;1;1;9;acept;not furnished;1720
Campinas;47;1;1;1;8;acept;not furnished;1720
Campinas;80;3;2;1;3;acept;not furnished;1720
Porto Alegre;150;4;2;2;0;acept;not furnished;1720
Rio de Janeiro;72;2;2;1;5;acept;not furnished;1721
São Paulo;46;1;1;0;3;acept;not furnished;1721
Porto Alegre;63;2;1;0;12;acept;not furnished;1722
Rio de Janeiro;105;2;1;0;2;acept;not furnished;1722
Rio de Janeiro;28;1;1;0;5;not acept;furnished;1723
Rio de Janeiro;63;2;1;0;4;acept;not furnished;1725
São Paulo;56;2;1;1;10;acept;not furnished;1725
São Paulo;80;2;1;0;0;not acept;not furnished;1725
São Paulo;100;4;1;0;0;acept;not furnished;1725
Porto Alegre;72;2;1;0;23;acept;not furnished;1726
São Paulo;85;2;2;0;0;acept;not furnished;1726
São Paulo;100;1;2;2;0;not acept;not furnished;1726
Belo Horizonte;132;3;3;2;2;acept;not furnished;1727
Porto Alegre;67;2;2;1;2;acept;furnished;1727
São Paulo;90;2;1;2;0;acept;not furnished;1728
Rio de Janeiro;33;1;1;0;3;acept;not furnished;1729
Rio de Janeiro;60;2;1;0;7;acept;not furnished;1729
Belo Horizonte;90;3;2;1;2;acept;not furnished;1730
São Paulo;52;2;1;1;3;acept;not furnished;1730
São Paulo;38;1;1;1;2;acept;not furnished;1731
São Paulo;125;3;2;2;0;acept;not furnished;1731
Belo Horizonte;30;1;1;1;1;acept;furnished;1732
Campinas;65;2;1;2;2;acept;not furnished;1732
São Paulo;18;1;1;0;0;acept;not furnished;1732
São Paulo;47;1;1;0;1;acept;not furnished;1732
Belo Horizonte;110;2;2;2;4;not acept;not furnished;1734
Porto Alegre;27;1;1;0;2;not acept;furnished;1734
Porto Alegre;55;2;1;0;1;not acept;not furnished;1734
São Paulo;81;3;2;1;4;acept;not furnished;1734
Rio de Janeiro;21;1;1;0;11;acept;not furnished;1735
Rio de Janeiro;30;1;1;0;11;acept;not furnished;1737
São Paulo;47;3;1;1;9;acept;not furnished;1738
Campinas;62;2;1;1;6;acept;not furnished;1739
Campinas;65;2;1;1;3;acept;not furnished;1739
São Paulo;43;1;1;0;6;acept;not furnished;1739
São Paulo;45;2;2;0;0;not acept;not furnished;1739
Campinas;48;2;1;1;1;not acept;furnished;1740
São Paulo;50;2;2;1;12;not acept;not furnished;1740
Rio de Janeiro;24;1;1;0;5;acept;furnished;1741
São Paulo;38;1;1;0;8;not acept;not furnished;1741
Campinas;160;3;2;0;0;acept;not furnished;1742
Porto Alegre;41;1;1;1;2;acept;not furnished;1742
Rio de Janeiro;80;2;2;0;3;acept;not furnished;1742
São Paulo;18;1;1;0;0;acept;not furnished;1742
São Paulo;46;2;1;1;6;acept;not furnished;1742
São Paulo;57;2;1;1;3;acept;not furnished;1742
Campinas;50;2;2;1;2;not acept;not furnished;1743
Porto Alegre;60;2;1;1;1;acept;furnished;1744
Rio de Janeiro;40;1;1;0;7;acept;not furnished;1744
São Paulo;56;1;1;0;9;acept;not furnished;1744
São Paulo;60;2;2;1;17;acept;not furnished;1744
Porto Alegre;55;2;2;0;4;acept;not furnished;1745
Porto Alegre;60;1;1;0;6;acept;furnished;1745
Porto Alegre;110;2;2;1;1;acept;not furnished;1745
Campinas;55;1;1;0;7;acept;not furnished;1746
Campinas;58;1;1;1;3;acept;not furnished;1746
Campinas;60;1;1;1;14;acept;not furnished;1746
Rio de Janeiro;80;2;1;1;14;acept;not furnished;1746
Belo Horizonte;97;3;3;1;1;not acept;not furnished;1747
Rio de Janeiro;47;1;1;0;2;not acept;not furnished;1747
Belo Horizonte;184;3;3;1;2;acept;not furnished;1748
Campinas;39;1;1;1;1;not acept;furnished;1748
Campinas;50;1;1;1;1;acept;not furnished;1748
Rio de Janeiro;60;2;1;0;2;acept;not furnished;1748
São Paulo;55;2;1;0;0;acept;not furnished;1748
São Paulo;60;2;1;1;0;not acept;not furnished;1749
Campinas;48;1;2;0;2;acept;furnished;1750
Campinas;100;4;2;1;0;acept;not furnished;1750
Porto Alegre;70;1;1;1;8;not acept;furnished;1750
Porto Alegre;90;2;1;0;1;acept;not furnished;1750
Belo Horizonte;95;3;2;2;1;acept;not furnished;1751
São Paulo;70;2;1;0;0;not acept;not furnished;1751
Rio de Janeiro;36;1;1;0;4;acept;not furnished;1752
Rio de Janeiro;48;1;1;0;6;acept;furnished;1752
Campinas;86;2;2;1;2;acept;not furnished;1753
São Paulo;54;2;1;1;0;acept;not furnished;1753
Porto Alegre;156;3;2;1;0;acept;not furnished;1754
Belo Horizonte;65;2;2;1;4;acept;not furnished;1755
Porto Alegre;91;2;1;0;2;acept;not furnished;1755
São Paulo;100;3;2;1;0;acept;not furnished;1756
São Paulo;44;2;1;1;12;acept;not furnished;1757
São Paulo;67;2;1;0;3;acept;not furnished;1758
Belo Horizonte;70;2;1;1;2;acept;not furnished;1759
Campinas;125;2;1;0;4;acept;not furnished;1759
São Paulo;45;2;2;0;0;not acept;not furnished;1759
São Paulo;45;2;1;1;6;not acept;not furnished;1759
São Paulo;49;1;1;1;1;not acept;not furnished;1761
São Paulo;58;2;1;2;10;acept;not furnished;1761
Belo Horizonte;70;3;2;1;3;acept;not furnished;1762
Rio de Janeiro;70;2;1;1;7;acept;not furnished;1763
Campinas;65;2;1;1;7;acept;not furnished;1764
Porto Alegre;55;1;1;0;14;acept;not furnished;1764
São Paulo;61;2;1;1;1;acept;not furnished;1764
São Paulo;70;1;1;0;4;not acept;not furnished;1764
São Paulo;90;2;2;0;0;acept;not furnished;1764
Belo Horizonte;65;2;1;1;3;acept;not furnished;1765
Campinas;70;3;1;1;6;acept;not furnished;1765
São Paulo;50;2;2;1;1;acept;not furnished;1765
Rio de Janeiro;70;3;1;1;2;acept;not furnished;1766
São Paulo;50;2;1;1;4;acept;not furnished;1766
Rio de Janeiro;80;3;2;0;10;not acept;furnished;1767
São Paulo;33;1;1;0;4;acept;not furnished;1767
Campinas;80;3;1;1;1;acept;not furnished;1768
São Paulo;50;2;1;1;3;acept;not furnished;1768
Campinas;89;2;1;1;3;acept;not furnished;1769
Porto Alegre;75;2;2;1;6;acept;not furnished;1769
São Paulo;63;2;1;1;3;acept;not furnished;1769
Rio de Janeiro;58;1;1;1;11;acept;not furnished;1770
Rio de Janeiro;46;2;1;0;1;acept;not furnished;1771
Rio de Janeiro;38;1;1;0;6;acept;not furnished;1772
São Paulo;25;1;1;0;2;not acept;furnished;1773
São Paulo;25;1;1;0;0;not acept;furnished;1773
São Paulo;28;1;1;0;1;not acept;furnished;1773
São Paulo;47;1;1;0;2;acept;not furnished;1773
Belo Horizonte;200;3;1;2;0;acept;not furnished;1774
Campinas;55;1;1;0;14;acept;not furnished;1774
Campinas;70;2;1;1;1;acept;not furnished;1774
Campinas;71;2;1;1;7;acept;not furnished;1774
São Paulo;20;1;1;0;3;not acept;not furnished;1774
Campinas;78;2;2;1;1;acept;not furnished;1775
São Paulo;34;1;1;0;10;acept;not furnished;1775
São Paulo;46;2;1;1;8;acept;not furnished;1775
São Paulo;55;3;1;1;3;acept;not furnished;1775
São Paulo;100;3;2;2;0;not acept;not furnished;1775
Porto Alegre;70;2;1;0;9;acept;not furnished;1776
Porto Alegre;75;2;1;0;10;acept;not furnished;1777
Porto Alegre;102;2;1;0;4;acept;not furnished;1777
Rio de Janeiro;71;3;2;0;1;not acept;not furnished;1777
São Paulo;50;1;1;1;0;acept;not furnished;1777
São Paulo;65;2;2;1;9;not acept;not furnished;1777
São Paulo;70;2;2;1;0;acept;not furnished;1777
São Paulo;90;2;2;0;0;acept;not furnished;1777
Campinas;60;2;1;1;16;not acept;not furnished;1778
Rio de Janeiro;30;1;1;0;10;acept;furnished;1778
São Paulo;70;3;2;1;3;acept;not furnished;1779
Belo Horizonte;80;2;2;1;0;not acept;not furnished;1780
Belo Horizonte;95;2;1;1;3;acept;not furnished;1780
Campinas;75;2;2;1;11;acept;not furnished;1780
Porto Alegre;70;2;1;0;3;acept;not furnished;1780
Rio de Janeiro;40;2;1;0;4;acept;not furnished;1780
São Paulo;54;2;1;1;1;acept;not furnished;1780
São Paulo;65;2;1;1;3;acept;not furnished;1780
Belo Horizonte;70;3;1;1;8;acept;not furnished;1784
Porto Alegre;53;1;1;0;2;acept;furnished;1784
Rio de Janeiro;40;2;2;0;2;acept;not furnished;1784
São Paulo;47;2;1;1;4;acept;not furnished;1784
Belo Horizonte;57;2;2;1;4;acept;not furnished;1785
Campinas;55;1;2;1;4;not acept;not furnished;1785
São Paulo;55;2;1;1;4;acept;not furnished;1785
Belo Horizonte;89;3;2;1;2;acept;not furnished;1786
São Paulo;50;1;1;0;0;acept;furnished;1786
Campinas;68;2;1;1;2;acept;not furnished;1787
Porto Alegre;30;1;1;0;16;not acept;furnished;1787
São Paulo;102;3;1;1;0;acept;not furnished;1787
Campinas;67;2;1;1;2;acept;not furnished;1788
Rio de Janeiro;49;2;1;0;4;acept;not furnished;1788
São Paulo;78;2;1;3;0;acept;not furnished;1788
Porto Alegre;44;1;1;1;2;acept;furnished;1789
Belo Horizonte;60;1;1;1;9;acept;not furnished;1790
Porto Alegre;60;2;2;1;6;acept;not furnished;1790
São Paulo;85;3;1;1;0;acept;not furnished;1790
Belo Horizonte;71;3;2;2;4;acept;not furnished;1792
Rio de Janeiro;46;1;1;0;5;acept;furnished;1792
São Paulo;62;3;2;1;4;acept;not furnished;1792
São Paulo;120;2;1;1;0;acept;not furnished;1792
São Paulo;175;1;1;2;0;acept;not furnished;1792
Belo Horizonte;85;3;2;1;3;acept;not furnished;1793
Campinas;103;2;1;1;4;not acept;not furnished;1793
Campinas;65;3;2;1;2;not acept;not furnished;1794
Campinas;90;3;2;0;0;acept;not furnished;1794
Rio de Janeiro;35;1;1;0;10;not acept;not furnished;1794
São Paulo;50;2;1;1;8;acept;not furnished;1794
Belo Horizonte;35;1;1;1;5;acept;furnished;1795
Porto Alegre;59;2;2;1;2;not acept;not furnished;1795
São Paulo;60;2;2;1;5;acept;not furnished;1795
Belo Horizonte;100;3;1;2;2;acept;not furnished;1796
Campinas;143;3;2;3;0;acept;not furnished;1796
São Paulo;64;3;1;1;2;acept;not furnished;1796
Porto Alegre;43;1;1;0;3;acept;furnished;1797
Rio de Janeiro;45;1;1;0;5;acept;not furnished;1797
Rio de Janeiro;53;1;1;0;7;acept;not furnished;1797
Porto Alegre;70;2;1;1;11;acept;not furnished;1798
São Paulo;50;2;1;1;10;acept;not furnished;1799
São Paulo;65;2;1;1;3;acept;not furnished;1799
São Paulo;69;2;2;0;0;acept;not furnished;1799
São Paulo;100;2;1;1;0;acept;not furnished;1800
Belo Horizonte;33;1;1;1;3;acept;not furnished;1801
Campinas;120;3;2;5;0;acept;not furnished;1801
São Paulo;45;2;1;0;3;not acept;not furnished;1801
São Paulo;49;2;1;1;1;acept;not furnished;1801
São Paulo;50;2;1;1;6;acept;not furnished;1801
Campinas;73;3;1;1;3;acept;not furnished;1802
Porto Alegre;55;2;1;0;19;acept;not furnished;1802
Porto Alegre;67;2;1;1;9;acept;not furnished;1802
Belo Horizonte;65;2;1;1;6;not acept;not furnished;1803
Porto Alegre;75;2;1;0;2;acept;not furnished;1804
Rio de Janeiro;64;2;1;0;0;not acept;not furnished;1804
Belo Horizonte;53;1;1;0;1;acept;not furnished;1805
Campinas;50;2;1;1;4;not acept;not furnished;1805
São Paulo;60;2;1;1;7;acept;not furnished;1806
Porto Alegre;90;3;1;0;0;acept;not furnished;1807
Rio de Janeiro;30;1;1;0;8;not acept;not furnished;1807
São Paulo;35;1;1;0;9;acept;furnished;1807
Campinas;84;2;1;1;7;acept;not furnished;1808
São Paulo;78;2;1;1;0;acept;not furnished;1808
Campinas;68;2;1;2;1;acept;not furnished;1810
São Paulo;50;2;1;1;1;acept;not furnished;1810
São Paulo;119;2;1;1;0;not acept;not furnished;1810
Porto Alegre;66;2;1;0;4;acept;not furnished;1811
Rio de Janeiro;80;2;1;0;10;not acept;not furnished;1811
Porto Alegre;70;3;2;0;0;acept;not furnished;1812
Rio de Janeiro;68;2;2;1;7;not acept;not furnished;1812
Belo Horizonte;22;1;1;0;3;not acept;furnished;1813
Campinas;94;3;1;0;6;acept;not furnished;1813
São Paulo;50;1;1;0;6;not acept;not furnished;1813
São Paulo;72;2;2;1;1;acept;not furnished;1813
Porto Alegre;78;2;1;0;3;acept;not furnished;1814
Porto Alegre;78;2;1;0;1;acept;not furnished;1814
Rio de Janeiro;28;1;1;0;3;acept;furnished;1814
Rio de Janeiro;58;2;1;0;1;not acept;not furnished;1814
Campinas;56;2;1;1;5;acept;not furnished;1815
Porto Alegre;36;2;1;1;2;acept;not furnished;1815
Rio de Janeiro;56;2;1;1;4;acept;not furnished;1815
São Paulo;50;2;1;1;2;not acept;not furnished;1815
São Paulo;26;1;1;1;3;acept;furnished;1816
São Paulo;53;2;1;1;1;acept;not furnished;1816
São Paulo;55;2;1;1;0;acept;not furnished;1816
Belo Horizonte;28;1;1;1;0;not acept;furnished;1817
Belo Horizonte;32;1;1;0;0;not acept;furnished;1817
Porto Alegre;53;2;1;0;3;acept;not furnished;1817
São Paulo;26;1;1;0;6;acept;not furnished;1817
São Paulo;55;2;1;1;2;not acept;not furnished;1817
São Paulo;60;1;1;0;0;not acept;not furnished;1817
Porto Alegre;66;2;2;0;3;acept;not furnished;1818
São Paulo;55;2;1;1;1;acept;not furnished;1818
São Paulo;65;2;1;0;3;acept;not furnished;1818
Belo Horizonte;120;3;2;2;3;not acept;not furnished;1819
Porto Alegre;50;2;1;0;18;acept;not furnished;1819
Belo Horizonte;19;1;1;0;5;acept;not furnished;1820
Porto Alegre;70;2;2;0;4;acept;not furnished;1820
Rio de Janeiro;84;3;1;1;3;acept;not furnished;1820
São Paulo;35;1;1;0;15;acept;not furnished;1820
São Paulo;46;2;1;1;5;not acept;not furnished;1820
São Paulo;78;2;1;0;1;acept;not furnished;1820
Rio de Janeiro;28;1;1;0;2;acept;not furnished;1821
Rio de Janeiro;60;2;1;1;2;acept;not furnished;1821
São Paulo;49;2;1;1;15;acept;not furnished;1821
Porto Alegre;50;1;1;0;2;not acept;not furnished;1822
Belo Horizonte;58;2;2;2;7;acept;not furnished;1823
Belo Horizonte;58;1;2;2;7;acept;not furnished;1823
São Paulo;50;2;1;1;2;acept;not furnished;1823
São Paulo;67;2;1;1;3;acept;not furnished;1823
Porto Alegre;75;3;2;1;2;acept;not furnished;1825
São Paulo;33;1;1;0;4;acept;not furnished;1825
Belo Horizonte;90;3;1;1;1;acept;not furnished;1826
Porto Alegre;162;3;1;0;1;acept;not furnished;1826
Rio de Janeiro;50;1;1;0;4;not acept;not furnished;1827
São Paulo;50;2;1;1;7;not acept;furnished;1828
São Paulo;90;2;2;1;0;acept;not furnished;1828
Campinas;94;2;1;1;1;acept;not furnished;1829
